,Date,Open,High,Low,Close,Adj Close,Volume,log return,response
0,1992-01-02,417.029999,417.269989,411.040009,417.26001,417.26001,207570000,,0.00497248451069
1,1992-01-03,417.269989,419.790009,416.160004,419.339996,419.339996,224270000,0.00497248451069,-0.00329632454554
2,1992-01-06,419.309998,419.440002,416.920013,417.959991,417.959991,251210000,-0.00329632454554,-0.00134073236435
3,1992-01-07,417.959991,417.959991,415.200012,417.399994,417.399994,252780000,-0.00134073236435,0.00167567244475
4,1992-01-08,417.359985,420.230011,415.019989,418.100006,418.100006,290750000,0.00167567244475,-0.00117270598996
5,1992-01-09,418.089996,420.5,415.850006,417.609985,417.609985,292350000,-0.00117270598996,-0.00602847720985
6,1992-01-10,417.619995,417.619995,413.309998,415.100006,415.100006,236130000,-0.00602847720985,-0.00183258634951
7,1992-01-13,415.049988,415.359985,413.540009,414.339996,414.339996,200270000,-0.00183258634951,0.0146149035482
8,1992-01-14,414.339996,420.440002,414.320007,420.440002,420.440002,265900000,0.0146149035482,0.00078455325176
9,1992-01-15,420.450012,421.179993,418.790009,420.769989,420.769989,314830000,0.00078455325176,-0.00610266277165
10,1992-01-16,420.769989,420.850006,415.369995,418.209991,418.209991,336240000,-0.00610266277165,0.00155302220669
11,1992-01-17,418.200012,419.450012,416.0,418.859985,418.859985,287370000,0.00155302220669,-0.00598646477812
12,1992-01-20,418.859985,418.859985,415.799988,416.359985,416.359985,180900000,-0.00598646477812,-0.00897465613642
13,1992-01-21,416.359985,416.390015,411.320007,412.640015,412.640015,218750000,-0.00897465613642,0.0132168224312
14,1992-01-22,412.649994,418.130005,412.48999,418.130005,418.130005,228140000,0.0132168224312,-0.00761029256118
15,1992-01-23,418.130005,419.779999,414.359985,414.959991,414.959991,234580000,-0.00761029256118,0.00125239648071
16,1992-01-24,414.959991,417.269989,414.290009,415.480011,415.480011,213630000,0.00125239648071,-0.00118010537714
17,1992-01-27,415.440002,416.839996,414.480011,414.98999,414.98999,190970000,-0.00118010537714,-7.22911035602e-05
18,1992-01-28,414.980011,416.410004,414.540009,414.959991,414.959991,218400000,-7.22911035602e-05,-0.0111960337643
19,1992-01-29,414.959991,417.829987,409.170013,410.339996,410.339996,248940000,-0.0111960337643,0.00311450690714
20,1992-01-30,410.339996,412.170013,409.26001,411.619995,411.619995,194680000,0.00311450690714,-0.00692346992986
21,1992-01-31,411.649994,412.630005,408.640015,408.779999,408.779999,197620000,-0.00692346992986,0.00183304667384
22,1992-02-03,408.790009,409.950012,407.450012,409.529999,409.529999,185290000,0.00183304667384,0.0104934455882
23,1992-02-04,409.600006,413.850006,409.279999,413.850006,413.850006,233680000,0.0104934455882,-2.41877997222e-05
24,1992-02-05,413.880005,416.170013,413.179993,413.839996,413.839996,262440000,-2.41877997222e-05,-4.83024428668e-05
25,1992-02-06,413.869995,414.549988,411.929993,413.820007,413.820007,242050000,-4.83024428668e-05,-0.00661895469083
26,1992-02-07,413.820007,415.290009,408.040009,411.089996,411.089996,231120000,-0.00661895469083,0.00649807841078
27,1992-02-10,411.070007,413.769989,411.070007,413.769989,413.769989,184410000,0.00649807841078,-2.41175546813e-05
28,1992-02-11,413.769989,414.380005,412.23999,413.76001,413.76001,200130000,-2.41175546813e-05,0.00811181604878
29,1992-02-12,413.769989,418.079987,413.359985,417.130005,417.130005,237630000,0.00811181604878,-0.00828102989651
30,1992-02-13,417.130005,417.769989,412.070007,413.690002,413.690002,229360000,-0.00828102989651,-0.00292915948558
31,1992-02-14,413.690002,413.839996,411.200012,412.480011,412.480011,215110000,-0.00292915948558,-0.0124413233592
32,1992-02-18,412.480011,413.269989,406.339996,407.380005,407.380005,234300000,-0.0124413233592,0.00215782778009
