Asset,Mean,Std dev,Skewness,Kurtosis,Minimum,Maximum,JB
AA,0.09172253634920628,1.7968760339636818,0.164017751166915,0.5779946724570522,-5.585733138999999,5.9868249339999995,9.0
AXP,0.09566621605952384,1.5147319276555329,0.3365791367184375,1.044781999974858,-4.427282368,6.015691684,31.0
BA,0.12594108108531746,1.3718897628121574,0.3835749961997169,0.8239192004158231,-3.9731699369999998,5.439407207,26.0
BAC,0.08410070724801592,1.3534529859333098,0.023936980980959293,0.9938400235947151,-5.180441119,5.218575317,20.0
C,0.10173096391071426,1.757807831576521,0.11216507460137205,0.9232273020234341,-7.731121185,6.726538239,18.0
CAT,0.06100147258333334,1.835828429763338,-0.27550684675589276,2.589501276649437,-10.3955034,6.478455386,143.0
CVX,0.052848423563492106,1.157232324958891,-0.09571648120508174,0.43715116246006636,-4.107041087,3.109058707,4.0
DD,0.0863192974742063,1.2916556283613823,-0.09357250812817408,2.1634999159147696,-6.139793953,6.210421049,96.0
DIS,0.06703469934523813,1.445674486615958,0.30681735349381045,0.7088382209483473,-4.328160915,6.160099784,18.0
GE,0.074364366984127,1.162984986462185,0.04220037560368501,0.06076113253766957,-3.587062627,3.605540762,0.0
GM,0.0007787007321428815,1.7165267975018315,0.03337931353816805,1.0064894694405417,-8.304508522999999,5.232369118,20.0
HD,0.03915083486111113,1.6124755195970473,0.21481608781351422,1.317096075695635,-5.3671416789999995,6.05448038,39.0
HPQ,0.15373814447619064,1.8923727887568835,0.6018206742061715,3.312926563513722,-5.357057363,10.26170297,255.0
IBM,0.10070535215873022,1.678068072044359,0.9964425883342449,7.165302165551387,-6.580759185,11.05316565,1136.0
INTC,0.121146760781746,2.0848187101688427,-0.3876570164215901,2.341475522629964,-11.56615013,6.559728249,124.0
JNJ,0.13659877782539684,1.2446072457366009,-0.005919590241667988,0.7618904490309619,-4.138521616,4.20359171,12.0
JPM,0.0906594058154762,1.5395354647174482,0.7786898885847005,3.564745926254565,-4.768783078999999,10.06526105,310.0
AIG,0.09263074853571433,1.177634210580303,0.214755873937558,0.5195630188650586,-3.815176596,4.385689822,9.0
KO,0.10724153014880947,1.1425036514831624,-0.01338152727660405,0.1888431994563824,-3.983268039,3.5669076210000004,1.0
MCD,0.09412338754960317,1.3102091194303878,-0.29500164671618834,2.3348904041019267,-7.410797215,4.766467165,118.0
MMM,0.052569259226190476,1.1918320972688765,-0.0547062902033911,2.1160146882757376,-6.029493996,4.363816926,91.0
MRK,0.14021487627777776,1.357993734185243,0.3366374382131928,0.7753761067203744,-4.818974386,4.998382235,21.0
MSFT,0.15420477709722216,1.9804663902345065,0.04938182961097315,0.7106214849826853,-7.598590698,6.635086202,10.0
PFE,0.1295717371230159,1.422924111322964,-0.17319517671257517,1.5461287581133538,-7.52624845,4.508168385,51.0
PG,0.0834976824880952,1.2376745915580358,0.3127069954860938,0.6043974839315691,-3.224599973,4.457065685,15.0
T,0.07842478929563489,1.33538745953383,0.008201672608991788,0.5120941672652397,-4.464636432,4.339260072,5.0
UTX,0.09569075040674603,1.240426532765802,0.025478299273566714,2.1363138214735464,-6.043173918,5.170780217,93.0
VZ,0.044222904670634895,1.2591472030405337,0.2250734902674689,0.318086796971917,-3.759601743,4.512043528,6.0
WMT,-0.02025988128968253,1.587425162196205,0.20666479313858016,0.7704849629874677,-5.380270599,6.543097992000001,15.0
XOM,0.06753214035912695,0.9590266400798274,-0.17787993935994023,1.5314600372460214,-4.105588528999999,3.58739389,50.0
