Asset,Mean,Std dev,Skewness,Kurtosis,Minimum,Maximum,JB
AA,-0.024583651192000018,2.9317905980463164,0.11926329234180919,1.1709604888446408,-11.66118468,12.24371587,29.0
AXP,-0.08510209004200003,2.8399207142980134,-0.33760242912497485,1.3901307742977749,-14.60806569,8.826112787000001,48.0
BA,-0.008068609565999975,2.7149171073353284,-0.8820262691780996,5.902832372782916,-19.38568036,8.581343227,773.0
BAC,0.06189504819199999,2.5535207094295553,0.08615366824558375,0.7322235077835928,-8.845909997,8.210057976,11.0
C,0.04241390875200002,2.453211949967175,-0.05594271637709375,0.41469528308066783,-7.550163586,8.422663556,4.0
CAT,0.03372270144399996,2.4830735673934834,0.11941554712778692,0.9773473744574268,-9.214060503999999,9.932970862000001,20.0
CVX,0.018842993260000013,1.7155833370536568,0.3294955988285482,1.6759684192397493,-4.724428044,9.037963807,66.0
DD,-0.07528147471999999,2.392895602285945,0.09463147613527967,2.1109648763446294,-10.94586897,8.371564578,91.0
DIS,-0.06550071336599995,2.9393615936098976,-0.527357611298991,7.755233693408433,-20.33454566,14.21362398,1247.0
GE,-0.04506127647999998,2.491054839956312,0.004897010947896272,2.3104071514043656,-11.29473213,11.75165466,108.0
GM,-0.067160264182,2.5412444778750443,-0.363062966885449,2.563022428972633,-14.54124208,7.4201899739999995,144.0
HD,-0.05827084295600007,3.4114111020025337,-1.7371057943829384,19.105085550680812,-33.86364905,12.14243314,7694.0
HPQ,-0.14999025970399993,3.9055372687188554,0.03171116517575633,2.3156735162342312,-20.04073088,15.91409868,108.0
IBM,0.024828044463999967,2.7213754593819592,-0.14380273679994016,3.8726993291163194,-16.88385498,11.34849632,306.0
INTC,-0.05305215920800016,4.179827463548509,-0.3119551959995423,3.2983862873084893,-24.88610038,18.32365021,229.0
JNJ,0.05283396301599999,1.8071499373502473,-0.18495651677520103,2.8138404868069222,-10.2005139,6.322840201,163.0
JPM,-0.05936307637000001,2.8210446627547183,0.29527774625647113,1.592907398763169,-8.525339236,14.76603259,58.0
AIG,0.020089970900000004,2.042982052272313,0.0685698402336274,1.4655754814044806,-7.511590759,8.897725867,44.0
KO,-0.03743864342000003,2.1994502796670394,0.1534783405951659,1.8828632801770868,-9.503410195,9.371489947,73.0
MCD,-0.08112216974799999,2.1542089747448605,-0.10437266099872744,2.0870998355574595,-10.73959059,8.517789491,89.0
MMM,0.04698068618999997,2.0746932843860693,0.6115243592684281,2.124991266129918,-6.835400374,10.49974734,122.0
MRK,-0.019340652200000016,2.178451079652121,0.1320202553899056,2.688770408476658,-9.851743872,9.183664312000001,148.0
MSFT,-0.11331030382199982,3.2063381520116017,-0.25743538837227353,4.800942120981492,-16.956259699999997,17.84650152,474.0
PFE,0.04494491586799994,2.2518348005293682,-0.050423230259821455,0.7682924844320937,-8.708620209,7.836692237,12.0
PG,-0.057092660155999966,2.739715299234781,-4.618112777840951,59.77933476237389,-35.98917216,9.088803383,74709.0
T,-0.03493955686400004,2.49094112066606,-0.1223274757714429,2.7434954653621957,-13.52280075,10.67140883,154.0
UTX,0.004074605299999953,2.7981408244488035,-2.689974260940272,27.693779907468908,-30.29023697,7.722566758999999,16247.0
VZ,-0.040441417791999966,2.3298266087073034,0.26539250574667156,2.8412747926341217,-11.89486728,11.57595419,169.0
WMT,-0.03454514788599994,2.7349746193205444,0.11099758640549924,1.0923804202806173,-9.479836541000001,8.727409612999999,25.0
XOM,0.003706023550000035,1.7810073182550914,0.2635416737794284,1.6018346029617576,-4.625787616,9.265589822,57.0
