,Date,AA,AXP,BA,BAC,C,CAT,CVX,DD,DIS,GE,GM,HD,HPQ,IBM,INTC,JNJ,JPM,AIG,KO,MCD,MMM,MRK,MSFT,PFE,PG,T,UTX,VZ,WMT,XOM
0,12/16/94,2.275698712,0.8344971929999999,0.0,0.0,0.0,-0.209643683,0.785999045,1.592128059,1.084441301,2.553330201,0.33688970700000004,-0.7773498329999999,0.12492194,-0.5164633820000001,1.5083242209999999,0.83760378,-0.644747559,0.9158218290000001,1.192264496,0.502093105,-1.00897717,1.314727236,-0.301659354,0.0,0.766287275,-1.127226106,2.125999943,0.49769032700000004,1.5952481859999998,1.853621191
1,12/19/94,-1.8928009890000002,-0.41637811700000005,-0.520292537,1.0440065,2.809173487,-2.120970281,0.567780092,-1.592128059,0.843886865,-0.505477066,0.279877037,-0.558972948,-0.7518832409999999,2.113431207,-2.731581065,0.277649415,0.258398077,-0.280899061,-0.495050516,-0.502093105,-0.451722959,0.0,-1.2158204479999999,2.333085676,0.254129743,-0.894678599,-0.812352152,-1.428595725,-1.5952481859999998,-0.36798569600000003
2,12/20/94,-1.540466919,-0.41811907600000003,1.037892036,-0.446097394,-1.114217655,0.427808139,0.564574541,-0.443705664,-0.229445607,-0.5080451229999999,0.0,-2.727441792,2.361825135,-1.211363235,5.681647504,-1.39602081,-0.258398077,0.910051783,1.47785941,0.0,0.226116546,1.055633027,-4.375698036,0.0,-1.2771565679999999,0.570266311,-0.8190053970000001,-1.012300763,-2.235865497,-0.461894586
3,12/21/94,2.680441266,0.41811907600000003,-0.258464863,-1.804560247,1.666705249,2.112010921,-0.7771144720000001,1.5991518059999998,0.534556447,0.169635325,-0.279877037,3.5091319810000003,-0.36923118899999996,3.961536562,2.298951822,-0.46970495,-1.040321476,0.763627452,1.1667609270000001,-0.42034530200000003,1.679770739,1.284126795,2.8348355,0.0,1.023026825,0.0,0.16433857400000002,-0.51001932,1.631024944,0.461894586
4,12/22/94,0.752826642,0.831029713,-1.302440917,-2.457881026,-4.507805432,1.349268004,0.5657723720000001,0.0,2.48226359,1.1794576490000002,3.2536644530000003,-0.222717241,1.347234094,-0.1851281,0.566573754,0.46970495,-0.392927814,-1.182622479,-3.092270922,0.922438407,-0.668526167,-0.640002185,-1.564977167,-1.265839687,0.254129743,-1.8033275569999998,0.654666823,1.017450638,-1.631024944,0.184162115
5,12/23/94,0.623054975,-0.414651596,0.0,2.153929425,3.120820645,0.308801069,0.211342101,-0.219058138,0.813914963,-0.6722714390000001,5.232369118,0.222717241,1.8083675430000001,0.0,-0.28288562,1.118371396,0.0,0.627836035,0.942701102,-0.502093105,0.9457650470000001,0.958473791,0.31496089,-0.63897981,-0.254129743,1.2330612459999999,0.812352152,0.504869446,-0.618558673,-0.184162115
6,12/27/94,1.234583582,0.0,0.0,-0.152322954,3.297001924,1.529861556,0.281096461,0.655740055,0.0,2.990256017,1.532988631,0.554632592,0.238663598,1.044556349,0.846267392,0.46232167399999996,-0.658330225,1.1752641320000001,1.2270092590000001,0.918586835,1.429381126,0.317460584,0.0,0.213447253,1.431603397,0.570266311,1.764279924,0.21559476600000002,-3.472205722,0.36798569600000003
7,12/28/94,0.12262417199999999,0.414651596,-0.525763567,-0.305343749,-1.360565206,-1.838662625,-0.845671002,-0.218102595,0.5145178570000001,-0.1638002,-1.532988631,-0.554632592,-0.11926059900000001,-1.7263067419999998,-1.414450739,-0.647850484,0.658330225,-0.620477689,0.0,1.23917323,0.0,-0.95542128,0.313972,0.42553255700000003,-0.839635495,-0.897598846,-0.958473791,0.0,1.170848926,0.0
8,12/29/94,0.0,-0.414651596,0.0,-1.076105696,-0.549451932,0.51413995,-0.21253993100000002,-1.152908735,-2.1490267569999997,0.9788006370000001,2.139663899,-0.222717241,1.891309331,1.9095129000000002,2.809173487,-0.278940209,-0.262812241,-0.624351664,0.24360548,0.40966874200000003,-0.7121366720000001,-0.964637705,1.246122044,-0.63897981,-0.16877641100000002,-0.65789711,0.799364768,-1.737914849,1.157298556,-0.644866353
9,12/30/94,1.580580017,1.238832086,-0.316790128,0.769826743,-1.666705249,1.12188836,0.5657723720000001,1.588639272,0.820593937,-1.307208157,0.0,-0.8958626540000001,-2.2499468940000003,-1.227762507,-0.555556984,-0.37313476100000004,-0.52770571,-0.558270815,-1.717833654,-1.234075719,1.1478672079999999,-1.300831351,-0.9331327429999999,0.213447253,-0.848181506,-1.4962872680000001,-0.63897981,-0.733141114,-2.328147482,-1.021838896
10,1/3/95,-1.213607128,-0.962206736,-0.5302239360000001,1.3709277930000001,1.666705249,-0.203045755,-0.353232441,-0.217627942,1.5481326519999998,0.0,-0.911398714,-1.359024314,-1.5691329790000001,0.369914109,-0.278940209,-0.468384931,1.052641299,0.27952499,0.49382816399999996,-0.41476625200000006,1.188560723,0.245198325,-1.574835697,-1.503787736,0.679119758,0.667782114,0.0,1.243160434,-1.727904761,-0.186915942
11,1/4/95,0.24390256,0.413508515,-0.212879271,0.9036206059999999,1.36801039,-0.20345887,1.125979525,-0.218102595,-0.8817103409999999,0.0,3.547711552,-0.457143653,0.847976008,0.857848398,-0.279720462,0.841519693,1.68725612,-1.1934153570000001,-2.191322743,-0.41649373,-1.188560723,-0.245198325,0.632913505,-0.21668480899999998,-0.8496227829999999,-0.667782114,0.320000273,-0.5830920310000001,3.531667192,0.466636404
12,1/5/95,-0.733499621,0.5486982220000001,0.212879271,0.7468294609999999,0.271370587,1.31514288,0.0,-0.218579322,-0.22164767100000002,0.32840752,-0.590843669,-0.574384118,-0.604962523,-0.550628494,0.836824967,-0.37313476100000004,1.024336741,-0.070646418,-0.50479663,0.41649373,0.0,-1.069528912,-1.5898586069999998,0.432901109,-1.37459209,1.578761499,-0.480385231,-0.292825978,1.150038812,0.186046565
13,1/6/95,2.902259323,0.27322421399999997,1.895791374,-0.298062814,2.937460868,1.792876709,-1.693759616,-1.155446142,-0.296296513,-0.493016611,0.590843669,-0.346220773,1.8040176559999999,1.522099401,1.379332213,-0.750472565,0.38143720799999997,0.0,0.0,-1.338932137,-0.43573053700000003,-0.663902853,1.5898586069999998,0.0,0.17286089,0.0,1.11733006,-0.5145178570000001,0.518404479,0.0
14,1/9/95,0.948998818,-0.27322421399999997,0.0,0.0,-0.263504764,1.9550964869999998,-0.213751417,0.44174561100000004,-0.22279994399999997,-0.9933856520000001,-0.590843669,1.3777485440000001,1.066992932,0.482219138,1.6304709019999999,-1.136375865,0.632513178,0.070646418,-1.478487294,1.338932137,0.0,-2.018571482,-0.632913505,-2.18349286,-0.432713786,-0.330305833,0.475060276,0.0,-0.518404479,-0.839948942
15,1/10/95,-0.354820006,0.817443244,-0.523013745,1.628459376,1.310634751,1.059229932,0.213751417,0.713700532,-0.896197186,0.66335235,-2.348346736,1.133798994,1.5213868640000001,1.492119596,0.805373481,2.073589848,-1.013950385,1.05375053,-1.032533696,0.0,0.0,-0.6820145790000001,1.261846396,0.879126541,1.2069112020000001,0.330305833,0.47281412,0.0,-1.782952317,0.374181915
16,1/11/95,-0.356083462,0.810815253,-0.26253625,-1.3303965629999999,-0.7843177459999999,-0.8658062740000001,-1.073355564,0.43668191700000003,1.118997129,1.476647012,0.0,0.0,0.34782643799999996,-0.8328424109999999,-0.536194314,0.0,0.0,1.525688401,0.25913463600000003,0.0,-0.273298886,2.700586061,0.625002035,-0.43859719399999997,-0.17152662899999999,-0.910979385,-0.31496089,-0.22132063600000002,2.301356796,-0.56179923
17,1/12/95,0.592769963,-0.810815253,3.8674580069999998,-0.298062814,-0.526317004,-1.9512814219999999,-0.867057455,-1.592128059,0.812712268,-0.162999221,0.0,-0.22573373,-0.34782643799999996,0.0,1.335133317,-0.9372139829999999,-0.382897724,0.137551604,0.978632585,-0.918586835,-1.878508277,-1.5946624109999998,-0.31201273399999996,-0.220022091,1.0247741259999998,0.332226219,-0.47430919,0.7358384929999999,-2.301356796,0.0
18,1/13/95,0.824018789,0.810815253,0.504541938,3.230824323,1.570712921,1.077913425,1.7266616019999999,1.809756001,0.586942257,1.13545421,0.905894469,1.902687505,0.8097210229999999,0.536194314,1.5789801730000002,-0.18850147,3.3944176510000004,2.444113516,0.0,1.333353087,0.0,2.671277365,2.469261259,2.394020755,1.18244621,0.0,0.47430919,1.021161317,2.301356796,0.841519693
19,1/16/95,-0.7058852840000001,0.80429388,-1.266160243,1.2921931420000001,3.3208671,0.0,0.0,0.8658062740000001,2.09924466,1.282068843,-1.514415616,0.7730574109999999,1.373019281,1.41595286,0.0,0.938974035,1.2285166790000002,2.9083345260000004,1.7780503980000002,0.824406978,2.369909758,0.9020151359999999,2.111692344,0.429185208,0.752826642,1.8077731419999998,0.941922192,1.010838932,-1.668443291,-0.279720462
20,1/17/95,-1.546729229,0.399734043,1.768169329,-3.927777612,-2.030526616,2.026118514,1.34610605,0.91177891,0.0,-1.282068843,-0.86846012,0.0,-0.11370097900000001,0.0,-1.8445845790000002,0.37313476100000004,-1.2285166790000002,-0.45706902899999996,0.502261227,-1.23917323,-0.218102595,0.650938019,0.891536366,0.852883635,0.415801015,-0.326264563,-0.7843177459999999,1.426557716,-0.632913505,1.021838896
