Asset,Mean,Std dev,Skewness,Kurtosis,Minimum,Maximum,JB
AA,0.07313338739876354,1.9039392494617868,-0.7525060776719186,16.654102925474312,-27.45595376,13.13119257,37567.0
AXP,0.060144771746831506,2.1703648124950177,-0.79981515645308,15.794558640976755,-30.34304294,17.12034682,33859.0
BA,0.04762386426800622,1.8210701901470243,-0.3433144476817935,9.141405239186872,-18.10974594,14.22433332,11288.0
BAC,0.05527569709304488,1.9849398983061124,-0.35418205772816735,6.64301422908486,-20.76393648,10.883878,5994.0
C,0.07974260061545592,2.308953087796966,-0.776773354804696,12.187485084819233,-26.42617982,16.85336685,20278.0
CAT,0.0503002709214837,1.9798164347783405,-0.7082470750526604,11.657026009264317,-24.41558074,13.58871063,18524.0
CVX,0.05227520265440481,1.5217256050576102,-0.6725037120600069,9.564988190587824,-18.12526096,8.004270767000001,12533.0
DD,0.053082313534157724,1.705001391864367,-0.5628116496482385,7.920803427969137,-20.18984427,7.104205253,8597.0
DIS,0.05784936234744982,1.9051123235114191,-1.6276740508413508,37.00203893776347,-34.26450957,17.56133381,185389.0
GE,0.08646317847171565,1.558806560180952,-0.5818664393911583,10.256023856956222,-19.47440768,10.90403726,14312.0
GM,0.04298752687078824,1.883854317430714,-0.4206098274077226,9.242546802268393,-23.62688812,13.70842991,11570.0
HD,0.1503786166494591,2.1182657989814038,-0.695278388235314,9.707140418615369,-26.4151575,8.929813765,12918.0
HPQ,0.0681071682077279,2.3824155719434525,-0.4241492685759342,7.116538895553505,-22.63815466,15.19800033,6899.0
IBM,0.04431125242782071,1.8751638096420553,-0.8331675343492179,18.894263585563404,-26.81606007,12.36346749,48336.0
INTC,0.12474746775425037,2.643409446048864,-0.41758489261382625,6.050734243478086,-21.51113796,22.65276493,5011.0
JNJ,0.07309870372395663,1.6368750437196475,-0.5196376264455368,9.373594358927713,-20.43812749,10.57321938,11948.0
JPM,0.057844272640494535,2.2248827997058385,-0.8924905323425042,17.117440631407028,-32.34768745,13.04528884,39793.0
AIG,0.07703817033539412,1.641607434765183,-0.30476247196745043,6.288422226494575,-17.18502569,10.47930938,5361.0
KO,0.07785118963122113,1.7261877330782507,-1.0194051403716005,28.515234128918397,-28.286278600000003,17.91112812,109809.0
MCD,0.060733841507264234,1.6723134554356025,-0.3812141776385846,7.449333767931453,-18.27989977,10.308057000000002,7531.0
MMM,0.04904153850293659,1.4968041221664528,-1.388666910115914,19.511342006973315,-22.57925595,6.995858861,52185.0
MRK,0.07231282757712522,1.6561137272053446,-0.280419848241154,3.533350166749615,-13.93041717,9.267711452999999,1718.0
MSFT,0.1643110118633695,2.4945843032458743,-1.1540782963122114,20.04189312485512,-37.94896217,16.43030513,54683.0
PFE,0.08219579668346222,1.8897922378795484,-0.40091321688536613,5.46828858918497,-18.92419996,9.893994785,4102.0
PG,0.07904807106831532,1.6537056261349263,-1.679030848975173,48.80638388800826,-31.61972428,19.80376302,321585.0
T,0.06579700299474493,1.5479998787017288,-0.15103180811911152,2.707876039843122,-10.31842362,7.964406306,996.0
UTX,0.0605048125941266,1.6262250560838554,-0.3448221465353125,5.968946086657832,-16.90057808,9.869937529,4849.0
VZ,0.0564812384769706,1.5549417197952706,-0.3070323154441436,10.721811238289295,-19.31447898,13.18117017,15493.0
WMT,0.09414150070200923,1.9278126786172425,-0.13289128235298334,2.9458447691728664,-12.49721392,11.46918431,1174.0
XOM,0.05841133854714069,1.4850926254562704,-1.3884127713705927,39.34945424446014,-26.76995729,16.53924947,209083.0
